,Resting Heart Rate
07/27/2025,36
08/03/2025,55
08/10/2025,55
08/17/2025,56
08/24/2025,53
08/31/2025,53
09/07/2025,55
09/14/2025,53
09/21/2025,53
09/28/2025,52
10/05/2025,52
10/12/2025,51
10/19/2025,51
10/26/2025,51
11/02/2025,50
11/09/2025,55
11/16/2025,54
11/23/2025,51
11/30/2025,51
12/07/2025,52
12/14/2025,52
12/21/2025,56
12/28/2025,54
01/04/2026,51
01/11/2026,50
01/18/2026,51
01/25/2026,52
02/01/2026,51
02/08/2026,51
02/15/2026,52
02/22/2026,54
03/01/2026,53
03/08/2026,52
03/15/2026,52
03/22/2026,52