,Actual
07/27/2025,8457
08/03/2025,36084
08/10/2025,38210
08/17/2025,31470
08/24/2025,35208
08/31/2025,40484
09/07/2025,49118
09/14/2025,40312
09/21/2025,34033
09/28/2025,45065
10/05/2025,33096
10/12/2025,31179
10/19/2025,28349
10/26/2025,24754
11/02/2025,46013
11/09/2025,29394
11/16/2025,38808
11/23/2025,28540
11/30/2025,30862
12/07/2025,27725
12/14/2025,32436
12/21/2025,20915
12/28/2025,25777
01/04/2026,41404
01/11/2026,38957
01/18/2026,40198
01/25/2026,36165
02/01/2026,39712
02/08/2026,40796
02/15/2026,39051
02/22/2026,41140
03/01/2026,31810
03/08/2026,34977
03/15/2026,31312
03/22/2026,37016